stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
CESKRX_1,"Keranroux",,  48.381550,  -4.540657,,,,1
KAP_H_1,"Kap Huella",,  48.384460,  -4.389926,,,,2
COAT_T_3,"Coat Tan",,  48.386307,  -4.534942,,,,1
FOREST_1,"Forest",,  48.432022,  -4.461307,,,,2
CURIE_1,"Curie",,  48.431973,  -4.456812,,,,2
BECQUE_1,"Becquerel",,  48.431541,  -4.448973,,,,2
GONIO_1,"Gonio",,  48.366673,  -4.591320,,,,2
GONIO_2,"Gonio",,  48.366707,  -4.591175,,,,2
VIZAC,"Vizac",,  48.436008,  -4.405725,,,,1
VIZAC_2,"Vizac",,  48.436348,  -4.407017,,,,1
MARREG_1,"Marréguès",,  48.430206,  -4.500788,,,,1
G_KERI_1,"Grand Kerizac",,  48.426659,  -4.499401,,,,1
ROUDOU_1,"Roudous",,  48.430252,  -4.560014,,,,1
KERVIL_2,"Kervillerm",,  48.413799,  -4.444741,,,,1
KERVIL_1,"Kervillerm",,  48.413803,  -4.445135,,,,1
G_KERI_2,"Grand Kerizac",,  48.426731,  -4.499383,,,,1
SALANG_1,"Salanguis",,  48.417843,  -4.430301,,,,2
SALANG_2,"Salanguis",,  48.417812,  -4.430053,,,,2
POULED_2,"Pouléder",,  48.379078,  -4.532785,,,,2
POULED_1,"Pouléder",,  48.378994,  -4.532801,,,,2
STELLE_2,"Stelle",,  48.378773,  -4.600404,,,,1
KERFEU_2,"Kerfeunteun",,  48.388557,  -4.528395,,,,1
KERFEU_1,"Kerfeunteun",,  48.388035,  -4.528490,,,,1
TALLIN_2,"Tallinn",,  48.389412,  -4.524673,,,,1
TALLIN_1,"Tallinn",,  48.389660,  -4.525383,,,,1
PEGUY_1,"Péguy",,  48.401993,  -4.488839,,,,2
ISEN_2,"ISEN",,  48.406685,  -4.495674,,,,1
ISEN_1,"ISEN",,  48.406605,  -4.495839,,,,1
CUIRA_2,"Cuirassé",,  48.404114,  -4.496950,,,,1
CUIRA_1,"Cuirassé",,  48.404106,  -4.496868,,,,1
LANGEV_2,"Langevin",,  48.402401,  -4.498610,,,,1
LANGEV_1,"Langevin",,  48.401749,  -4.498971,,,,1
GILARD_2,"Colas",,  48.385040,  -4.349320,,,,1
GILARD_1,"Colas",,  48.384327,  -4.349824,,,,1
PEGUY_2,"Péguy",,  48.401798,  -4.488895,,,,2
MIRAB_1,"Mirabeau",,  48.409912,  -4.485509,,,,1
TOURV_2,"Tourville",,  48.385090,  -4.495382,,,,1
SURCOU_1,"Surcouf",,  48.381470,  -4.490112,,,,1
SURCOU_2,"Pte Surcouf",,  48.381439,  -4.490162,,,,1
BOT_1,"Rue du Bot",,  48.405212,  -4.457518,,,,1
BOT_2,"Rue du Bot",,  48.404510,  -4.457806,,,,1
DELACR_1,"Delacroix",,  48.408798,  -4.456507,,,,2
DELACR_2,"Delacroix",,  48.408241,  -4.456923,,,,2
COULOM_1,"Coulomb",,  48.410149,  -4.462484,,,,1
COULOM_2,"Coulomb",,  48.410309,  -4.461760,,,,1
FLOCH_1,"Floch",,  48.401173,  -4.454512,,,,1
TOURV_3,"Tourville",,  48.384480,  -4.495180,,,,1
FLOCH_2,"Floch",,  48.401207,  -4.455302,,,,1
LAMB_R2,"Lambézellec",,  48.417191,  -4.487112,,,,1
LAMBE_2,"Lambézellec",,  48.417187,  -4.487017,,,,1
PRAT_P,"Prat Pip",,  48.442749,  -4.415209,,,,1
B_OUES_2,"4 Pompes",,  48.366634,  -4.524227,,,,1
B_OUES_1,"4 Pompes",,  48.366440,  -4.524621,,,,1
PISCI_2,"Piscine",,  48.368729,  -4.518475,,,,2
PISCI_1,"Piscine",,  48.368782,  -4.518522,,,,2
FLOTI_2,"Gymnase",,  48.370659,  -4.515369,,,,2
FLOTI_1,"Gymnase",,  48.370636,  -4.515488,,,,2
EPI_2,"SLM",,  48.372635,  -4.512147,,,,2
EPI_1,"SLM",,  48.372860,  -4.511852,,,,2
ELECT_2,"Electronique",,  48.375134,  -4.509820,,,,1
ELECT_1,"Electronique",,  48.374966,  -4.509622,,,,1
LANINO_2,"Direction DCNS",,  48.377678,  -4.507539,,,,2
LANINO_1,"Direction DCNS",,  48.377300,  -4.508126,,,,2
